date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:04:36	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2007%20Oct%202018%2023:04:33%20GMT	http://www.paylessled.com/robots.txt		(from )
18:04:37	32824/32824	---M--	200	added ('OK')	text/html	date:Sun,%2007%20Oct%202018%2023:04:33%20GMT	http://www.paylessled.com/	C:/Users/alex/Desktop/CorCabinetry/CorCabinetry/www.paylessled.com/index.html	(from )
18:04:38	6666/6666	---M--	200	added ('OK')	image/png	etag:%22b51e3e32a6ebd31:0%22	http://www.paylessled.com/img/wpf-favicon.png	C:/Users/alex/Desktop/CorCabinetry/CorCabinetry/www.paylessled.com/img/wpf-favicon.png	(from http://www.paylessled.com/)
18:04:41	117154/117154	---M--	200	added ('OK')	text/css	etag:%22d6bf1cc93ebd31:0%22	http://www.paylessled.com/css/bootstrap.min.css	C:/Users/alex/Desktop/CorCabinetry/CorCabinetry/www.paylessled.com/css/bootstrap.min.css	(from http://www.paylessled.com/)
18:04:42	21987/21987	---M--	200	added ('OK')	text/css	etag:%226d1df2cc93ebd31:0%22	http://www.paylessled.com/css/font-awesome.min.css	C:/Users/alex/Desktop/CorCabinetry/CorCabinetry/www.paylessled.com/css/font-awesome.min.css	(from http://www.paylessled.com/)
18:04:43	1734/1734	---M--	200	added ('OK')	text/css	etag:%223f30d9c9cecd31:0%22	http://www.paylessled.com/css/superslides.css	C:/Users/alex/Desktop/CorCabinetry/CorCabinetry/www.paylessled.com/css/superslides.css	(from http://www.paylessled.com/)
18:04:43	4113/4113	---M--	200	added ('OK')	text/css	etag:%22f35facc93ebd31:0%22	http://www.paylessled.com/css/slick.css	C:/Users/alex/Desktop/CorCabinetry/CorCabinetry/www.paylessled.com/css/slick.css	(from http://www.paylessled.com/)
18:04:48	59839/59839	---M--	200	added ('OK')	text/css	etag:%221dd3efcc93ebd31:0%22	http://www.paylessled.com/css/animate.css	C:/Users/alex/Desktop/CorCabinetry/CorCabinetry/www.paylessled.com/css/animate.css	(from http://www.paylessled.com/)
18:04:48	1081/1081	---MCZ	200	added ('OK')	text/css	etag:W/%222406fa017caa2e8bed68092effec505b5f154a05%22	https://cdn.rawgit.com/pguso/jquery-plugin-circliful/master/css/jquery.circliful.css	C:/Users/alex/Desktop/CorCabinetry/CorCabinetry/cdn.rawgit.com/pguso/jquery-plugin-circliful/master/css/jquery.circliful.css	(from http://www.paylessled.com/)
18:04:49	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2007%20Oct%202018%2023:04:33%20GMT	http://www.paylessled.com/css/queryLoader.css	C:/Users/alex/Desktop/CorCabinetry/CorCabinetry/www.paylessled.com/css/queryLoader.7.delayed	(from http://www.paylessled.com/)
